1 2 3 4 5 
4 5 7 10 11 
4 5 7 10 12 
4 5 7 10 13 
4 5 7 10 14 
4 5 7 10 15 
4 5 7 10 16 
4 5 7 10 17 
4 5 7 10 18 
4 5 7 10 19 
4 5 7 10 20 
4 5 7 11 12 
4 5 7 11 13 
4 5 7 11 14 
4 5 7 11 15 
4 5 7 11 16 
4 5 7 11 17 
4 5 7 11 18 
4 5 7 11 19 
4 5 7 11 20 
4 5 7 12 13 
4 5 7 12 14 
4 5 7 12 15 
4 5 7 12 16 
4 5 7 12 17 
4 5 7 12 18 
4 5 7 12 19 
4 5 7 12 20 
4 5 7 13 14 
4 5 7 13 15 
4 5 7 13 16 
4 5 7 13 17 
4 5 7 13 18 
4 5 7 13 19 
4 5 7 13 20 
4 5 7 14 15 
4 5 7 14 16 
4 5 7 14 17 
4 5 7 14 18 
4 5 7 14 19 
4 5 7 14 20 
4 5 7 15 16 
4 5 7 15 17 
4 5 7 15 18 
4 5 7 15 19 
4 5 7 15 20 
4 5 7 16 17 
4 5 7 16 18 
4 5 7 16 19 
4 5 7 16 20 
4 5 7 17 18 
4 5 7 17 19 
4 5 7 17 20 
4 5 7 18 19 
4 5 7 18 20 
4 5 7 19 20 
4 5 8 9 10 
4 5 8 9 11 
4 5 8 9 12 
4 5 8 9 13 
4 5 8 9 14 
4 5 8 9 15 
4 5 8 9 16 
4 5 8 9 17 
4 5 8 9 18 
4 5 8 9 19 
4 5 8 9 20 
4 5 8 10 11 
4 5 8 10 12 
4 5 8 10 13 
4 5 8 10 14 
4 5 8 10 15 
4 5 8 10 16 
4 5 8 10 17 
4 5 8 10 18 
4 5 8 10 19 
4 5 8 10 20 
4 5 8 11 12 
4 5 8 11 13 
4 5 8 11 14 
4 5 8 11 15 
4 5 8 11 16 
4 5 8 11 17 
4 5 8 11 18 
4 5 8 11 19 
4 5 8 11 20 
4 5 8 12 13 
4 5 8 12 14 
4 5 8 12 15 
4 5 8 12 16 
4 5 8 12 17 
4 5 8 12 18 
4 5 8 12 19 
4 5 8 12 20 
4 5 8 13 14 
4 5 8 13 15 
4 5 8 13 16 
4 5 8 13 17 
4 5 8 13 18 
4 5 8 13 19 
4 5 8 13 20 
4 5 8 14 15 
4 5 8 14 16 
4 5 8 14 17 
4 5 8 14 18 
4 5 8 14 19 
4 5 8 14 20 
4 5 8 15 16 
4 5 8 15 17 
4 5 8 15 18 
4 5 8 15 19 
4 5 8 15 20 
4 5 8 16 17 
4 5 8 16 18 
4 5 8 16 19 
4 5 8 16 20 
4 5 8 17 18 
4 5 8 17 19 
4 5 8 17 20 
4 5 8 18 19 
4 5 8 18 20 
4 5 8 19 20 
4 5 9 10 11 
4 5 9 10 12 
4 5 9 10 13 
4 5 9 10 14 
4 5 9 10 15 
4 5 9 10 16 
4 5 9 10 17 
4 5 9 10 18 
4 5 9 10 19 
4 5 9 10 20 
4 5 9 11 12 
4 5 9 11 13 
4 5 9 11 14 
4 5 9 11 15 
4 5 9 11 16 
4 5 9 11 17 
4 5 9 11 18 
4 5 9 11 19 
4 5 9 11 20 
4 5 9 12 13 
4 5 9 12 14 
4 5 9 12 15 
4 5 9 12 16 
4 5 9 12 17 
4 5 9 12 18 
4 5 9 12 19 
4 5 9 12 20 
4 5 9 13 14 
4 5 9 13 15 
4 5 9 13 16 
4 5 9 13 17 
4 5 9 13 18 
4 5 9 13 19 
4 5 9 13 20 
4 5 9 14 15 
4 5 9 14 16 
4 5 9 14 17 
4 5 9 14 18 
4 5 9 14 19 
4 5 9 14 20 
4 5 9 15 16 
4 5 9 15 17 
4 5 9 15 18 
4 5 9 15 19 
4 5 9 15 20 
4 5 9 16 17 
4 5 9 16 18 
4 5 9 16 19 
4 5 9 16 20 
4 5 9 17 18 
4 5 9 17 19 
4 5 9 17 20 
4 5 9 18 19 
4 5 9 18 20 
4 5 9 19 20 
4 5 10 11 12 
4 5 10 11 13 
4 5 10 11 14 
4 5 10 11 15 
4 5 10 11 16 
4 5 10 11 17 
4 5 10 11 18 
4 5 10 11 19 
4 5 10 11 20 
4 5 10 12 13 
4 5 10 12 14 
4 5 10 12 15 
4 5 10 12 16 
4 5 10 12 17 
4 5 10 12 18 
4 5 10 12 19 
4 5 10 12 20 
4 5 10 13 14 
4 5 10 13 15 
4 5 10 13 16 
4 5 10 13 17 
4 5 10 13 18 
4 5 10 13 19 
4 5 10 13 20 
4 5 10 14 15 
4 5 10 14 16 
4 5 10 14 17 
4 5 10 14 18 
4 5 10 14 19 
4 5 10 14 20 
4 5 10 15 16 
4 5 10 15 17 
4 5 10 15 18 
4 5 10 15 19 
4 5 10 15 20 
4 5 10 16 17 
4 5 10 16 18 
4 5 10 16 19 
4 5 10 16 20 
4 5 10 17 18 
4 5 10 17 19 
4 5 10 17 20 
4 5 10 18 19 
4 5 10 18 20 
4 5 10 19 20 
4 5 11 12 13 
4 5 11 12 14 
4 5 11 12 15 
4 5 11 12 16 
4 5 11 12 17 
4 5 11 12 18 
4 5 11 12 19 
4 5 11 12 20 
4 5 11 13 14 
4 5 11 13 15 
4 5 11 13 16 
4 5 11 13 17 
4 5 11 13 18 
4 5 11 13 19 
4 5 11 13 20 
4 5 11 14 15 
4 5 11 14 16 
4 5 11 14 17 
4 5 11 14 18 
4 5 11 14 19 
4 5 11 14 20 
4 5 11 15 16 
4 5 11 15 17 
4 5 11 15 18 
4 5 11 15 19 
4 5 11 15 20 
4 5 11 16 17 
4 5 11 16 18 
4 5 11 16 19 
4 5 11 16 20 
4 5 11 17 18 
4 5 11 17 19 
4 5 11 17 20 
4 5 11 18 19 
4 5 11 18 20 
4 5 11 19 20 
4 5 12 13 14 
4 5 12 13 15 
4 5 12 13 16 
4 5 12 13 17 
4 5 12 13 18 
4 5 12 13 19 
4 5 12 13 20 
4 5 12 14 15 
4 5 12 14 16 
4 5 12 14 17 
4 5 12 14 18 
4 5 12 14 19 
4 5 12 14 20 
4 5 12 15 16 
4 5 12 15 17 
4 5 12 15 18 
4 5 12 15 19 
4 5 12 15 20 
4 5 12 16 17 
4 5 12 16 18 
4 5 12 16 19 
4 5 12 16 20 
4 5 12 17 18 
4 5 12 17 19 
4 5 12 17 20 
4 5 12 18 19 
4 5 12 18 20 
4 5 12 19 20 
4 5 13 14 15 
4 5 13 14 16 
4 5 13 14 17 
4 5 13 14 18 
4 5 13 14 19 
4 5 13 14 20 
4 5 13 15 16 
4 5 13 15 17 
4 5 13 15 18 
4 5 13 15 19 
4 5 13 15 20 
4 5 13 16 17 
4 5 13 16 18 
4 5 13 16 19 
4 5 13 16 20 
4 5 13 17 18 
4 5 13 17 19 
4 5 13 17 20 
4 5 13 18 19 
4 5 13 18 20 
4 5 13 19 20 
4 5 14 15 16 
4 5 14 15 17 
4 5 14 15 18 
4 5 14 15 19 
4 5 14 15 20 
4 5 14 16 17 
4 5 14 16 18 
4 5 14 16 19 
4 5 14 16 20 
4 5 14 17 18 
4 5 14 17 19 
4 5 14 17 20 
4 5 14 18 19 
4 5 14 18 20 
4 5 14 19 20 
4 5 15 16 17 
4 5 15 16 18 
4 5 15 16 19 
4 5 15 16 20 
4 5 15 17 18 
4 5 15 17 19 
4 5 15 17 20 
4 5 15 18 19 
4 5 15 18 20 
4 5 15 19 20 
4 5 16 17 18 
4 5 16 17 19 
4 5 16 17 20 
4 5 16 18 19 
4 5 16 18 20 
4 5 16 19 20 
4 5 17 18 19 
4 5 17 18 20 
4 5 17 19 20 
4 5 18 19 20 
4 6 7 8 9 
4 6 7 8 10 
4 6 7 8 11 
4 6 7 8 12 
4 6 7 8 13 
4 6 7 8 14 
4 6 7 8 15 
4 6 7 8 16 
4 6 7 8 17 
4 6 7 8 18 
4 6 7 8 19 
4 6 7 8 20 
4 6 7 9 10 
4 6 7 9 11 
4 6 7 9 12 
4 6 7 9 13 
4 6 7 9 14 
4 6 7 9 15 
4 6 7 9 16 
4 6 7 9 17 
4 6 7 9 18 
4 6 7 9 19 
4 6 7 9 20 
4 6 7 10 11 
4 6 7 10 12 
4 6 7 10 13 
4 6 7 10 14 
4 6 7 10 15 
4 6 7 10 16 
4 6 7 10 17 
4 6 7 10 18 
4 6 7 10 19 
4 6 7 10 20 
4 6 7 11 12 
4 6 7 11 13 
4 6 7 11 14 
4 6 7 11 15 
4 6 7 11 16 
4 6 7 11 17 
4 6 7 11 18 
4 6 7 11 19 
4 6 7 11 20 
4 6 7 12 13 
4 6 7 12 14 
4 6 7 12 15 
4 6 7 12 16 
4 6 7 12 17 
4 6 7 12 18 
4 6 7 12 19 
4 6 7 12 20 
4 6 7 13 14 
4 6 7 13 15 
4 6 7 13 16 
4 6 7 13 17 
4 6 7 13 18 
4 6 7 13 19 
4 6 7 13 20 
4 6 7 14 15 
4 6 7 14 16 
4 6 7 14 17 
4 6 7 14 18 
4 6 7 14 19 
4 6 7 14 20 
4 6 7 15 16 
4 6 7 15 17 
4 6 7 15 18 
4 6 7 15 19 
4 6 7 15 20 
4 6 7 16 17 
4 6 7 16 18 
4 6 7 16 19 
4 6 7 16 20 
4 6 7 17 18 
4 6 7 17 19 
4 6 7 17 20 
4 6 7 18 19 
4 6 7 18 20 
4 6 7 19 20 
4 6 8 9 10 
4 6 8 9 11 
4 6 8 9 12 
4 6 8 9 13 
4 6 8 9 14 
4 6 8 9 15 
4 6 8 9 16 
4 6 8 9 17 
4 6 8 9 18 
4 6 8 9 19 
4 6 8 9 20 
4 6 8 10 11 
4 6 8 10 12 
4 6 8 10 13 
4 6 8 10 14 
4 6 8 10 15 
4 6 8 10 16 
4 6 8 10 17 
4 6 8 10 18 
4 6 8 10 19 
4 6 8 10 20 
4 6 8 11 12 
4 6 8 11 13 
4 6 8 11 14 
4 6 8 11 15 
4 6 8 11 16 
4 6 8 11 17 
4 6 8 11 18 
4 6 8 11 19 
4 6 8 11 20 
4 6 8 12 13 
4 6 8 12 14 
4 6 8 12 15 
4 6 8 12 16 
4 6 8 12 17 
4 6 8 12 18 
4 6 8 12 19 
4 6 8 12 20 
4 6 8 13 14 
4 6 8 13 15 
4 6 8 13 16 
4 6 8 13 17 
4 6 8 13 18 
4 6 8 13 19 
4 6 8 13 20 
4 6 8 14 15 
4 6 8 14 16 
4 6 8 14 17 
4 6 8 14 18 
4 6 8 14 19 
4 6 8 14 20 
4 6 8 15 16 
4 6 8 15 17 
4 6 8 15 18 
4 6 8 15 19 
4 6 8 15 20 
4 6 8 16 17 
4 6 8 16 18 
4 6 8 16 19 
4 6 8 16 20 
4 6 8 17 18 
4 6 8 17 19 
4 6 8 17 20 
4 6 8 18 19 
4 6 8 18 20 
4 6 8 19 20 
4 6 9 10 11 
4 6 9 10 12 
4 6 9 10 13 
4 6 9 10 14 
4 6 9 10 15 
4 6 9 10 16 
4 6 9 10 17 
4 6 9 10 18 
4 6 9 10 19 
4 6 9 10 20 
4 6 9 11 12 
4 6 9 11 13 
4 6 9 11 14 
4 6 9 11 15 
4 6 9 11 16 
4 6 9 11 17 
4 6 9 11 18 
4 6 9 11 19 
4 6 9 11 20 
4 6 9 12 13 
4 6 9 12 14 
4 6 9 12 15 
4 6 9 12 16 
4 6 9 12 17 
4 6 9 12 18 
4 6 9 12 19 
4 6 9 12 20 
4 6 9 13 14 
4 6 9 13 15 
4 6 9 13 16 
4 6 9 13 17 
4 6 9 13 18 
4 6 9 13 19 
4 6 9 13 20 
4 6 9 14 15 
4 6 9 14 16 
4 6 9 14 17 
4 6 9 14 18 
4 6 9 14 19 
4 6 9 14 20 
4 6 9 15 16 
4 6 9 15 17 
4 6 9 15 18 
4 6 9 15 19 
4 6 9 15 20 
4 6 9 16 17 
4 6 9 16 18 
4 6 9 16 19 
4 6 9 16 20 
4 6 9 17 18 
4 6 9 17 19 
4 6 9 17 20 
4 6 9 18 19 
4 6 9 18 20 
4 6 9 19 20 
4 6 10 11 12 
4 6 10 11 13 
4 6 10 11 14 
4 6 10 11 15 
4 6 10 11 16 
4 6 10 11 17 
4 6 10 11 18 
4 6 10 11 19 
4 6 10 11 20 
4 6 10 12 13 
4 6 10 12 14 
4 6 10 12 15 
4 6 10 12 16 
4 6 10 12 17 
4 6 10 12 18 
4 6 10 12 19 
4 6 10 12 20 
4 6 10 13 14 
4 6 10 13 15 
4 6 10 13 16 
4 6 10 13 17 
4 6 10 13 18 
4 6 10 13 19 
4 6 10 13 20 
4 6 10 14 15 
4 6 10 14 16 
4 6 10 14 17 
4 6 10 14 18 
4 6 10 14 19 
4 6 10 14 20 
4 6 10 15 16 
4 6 10 15 17 
4 6 10 15 18 
4 6 10 15 19 
4 6 10 15 20 
4 6 10 16 17 
4 6 10 16 18 
4 6 10 16 19 
4 6 10 16 20 
4 6 10 17 18 
4 6 10 17 19 
4 6 10 17 20 
4 6 10 18 19 
4 6 10 18 20 
4 6 10 19 20 
4 6 11 12 13 
4 6 11 12 14 
4 6 11 12 15 
4 6 11 12 16 
4 6 11 12 17 
4 6 11 12 18 
4 6 11 12 19 
4 6 11 12 20 
4 6 11 13 14 
4 6 11 13 15 
4 6 11 13 16 
4 6 11 13 17 
4 6 11 13 18 
4 6 11 13 19 
4 6 11 13 20 
4 6 11 14 15 
4 6 11 14 16 
4 6 11 14 17 
4 6 11 14 18 
4 6 11 14 19 
4 6 11 14 20 
4 6 11 15 16 
4 6 11 15 17 
4 6 11 15 18 
4 6 11 15 19 
4 6 11 15 20 
4 6 11 16 17 
4 6 11 16 18 
4 6 11 16 19 
4 6 11 16 20 
4 6 11 17 18 
4 6 11 17 19 
4 6 11 17 20 
4 6 11 18 19 
4 6 11 18 20 
4 6 11 19 20 
4 6 12 13 14 
4 6 12 13 15 
4 6 12 13 16 
4 6 12 13 17 
4 6 12 13 18 
4 6 12 13 19 
4 6 12 13 20 
4 6 12 14 15 
4 6 12 14 16 
4 6 12 14 17 
4 6 12 14 18 
4 6 12 14 19 
4 6 12 14 20 
4 6 12 15 16 
4 6 12 15 17 
4 6 12 15 18 
4 6 12 15 19 
4 6 12 15 20 
4 6 12 16 17 
4 6 12 16 18 
4 6 12 16 19 
4 6 12 16 20 
4 6 12 17 18 
4 6 12 17 19 
4 6 12 17 20 
4 6 12 18 19 
4 6 12 18 20 
4 6 12 19 20 
4 6 13 14 15 
4 6 13 14 16 
4 6 13 14 17 
4 6 13 14 18 
4 6 13 14 19 
4 6 13 14 20 
4 6 13 15 16 
4 6 13 15 17 
4 6 13 15 18 
4 6 13 15 19 
4 6 13 15 20 
4 6 13 16 17 
4 6 13 16 18 
4 6 13 16 19 
4 6 13 16 20 
4 6 13 17 18 
4 6 13 17 19 
4 6 13 17 20 
4 6 13 18 19 
4 6 13 18 20 
4 6 13 19 20 
4 6 14 15 16 
4 6 14 15 17 
4 6 14 15 18 
4 6 14 15 19 
4 6 14 15 20 
4 6 14 16 17 
4 6 14 16 18 
4 6 14 16 19 
4 6 14 16 20 
4 6 14 17 18 
4 6 14 17 19 
4 6 14 17 20 
4 6 14 18 19 
4 6 14 18 20 
4 6 14 19 20 
4 6 15 16 17 
4 6 15 16 18 
4 6 15 16 19 
4 6 15 16 20 
4 6 15 17 18 
4 6 15 17 19 
4 6 15 17 20 
4 6 15 18 19 
4 6 15 18 20 
4 6 15 19 20 
4 6 16 17 18 
4 6 16 17 19 
4 6 16 17 20 
4 6 16 18 19 
4 6 16 18 20 
4 6 16 19 20 
4 6 17 18 19 
4 6 17 18 20 
4 6 17 19 20 
4 6 18 19 20 
4 7 8 9 10 
4 7 8 9 11 
4 7 8 9 12 
4 7 8 9 13 
4 7 8 9 14 
4 7 8 9 15 
4 7 8 9 16 
4 7 8 9 17 
4 7 8 9 18 
4 7 8 9 19 
4 7 8 9 20 
4 7 8 10 11 
4 7 8 10 12 
4 7 8 10 13 
4 7 8 10 14 
4 7 8 10 15 
4 7 8 10 16 
4 7 8 10 17 
4 7 8 10 18 
4 7 8 10 19 
4 7 8 10 20 
4 7 8 11 12 
4 7 8 11 13 
4 7 8 11 14 
4 7 8 11 15 
4 7 8 11 16 
4 7 8 11 17 
4 7 8 11 18 
4 7 8 11 19 
4 7 8 11 20 
4 7 8 12 13 
4 7 8 12 14 
4 7 8 12 15 
4 7 8 12 16 
4 7 8 12 17 
4 7 8 12 18 
4 7 8 12 19 
4 7 8 12 20 
4 7 8 13 14 
4 7 8 13 15 
4 7 8 13 16 
4 7 8 13 17 
4 7 8 13 18 
4 7 8 13 19 
4 7 8 13 20 
4 7 8 14 15 
4 7 8 14 16 
4 7 8 14 17 
4 7 8 14 18 
4 7 8 14 19 
4 7 8 14 20 
4 7 8 15 16 
4 7 8 15 17 
4 7 8 15 18 
4 7 8 15 19 
4 7 8 15 20 
4 7 8 16 17 
4 7 8 16 18 
4 7 8 16 19 
4 7 8 16 20 
4 7 8 17 18 
4 7 8 17 19 
4 7 8 17 20 
4 7 8 18 19 
4 7 8 18 20 
4 7 8 19 20 
4 7 9 10 11 
4 7 9 10 12 
4 7 9 10 13 
4 7 9 10 14 
4 7 9 10 15 
4 7 9 10 16 
4 7 9 10 17 
4 7 9 10 18 
4 7 9 10 19 
4 7 9 10 20 
4 7 9 11 12 
4 7 9 11 13 
4 7 9 11 14 
4 7 9 11 15 
4 7 9 11 16 
4 7 9 11 17 
4 7 9 11 18 
4 7 9 11 19 
4 7 9 11 20 
4 7 9 12 13 
4 7 9 12 14 
4 7 9 12 15 
4 7 9 12 16 
4 7 9 12 17 
4 7 9 12 18 
4 7 9 12 19 
4 7 9 12 20 
4 7 9 13 14 
4 7 9 13 15 
4 7 9 13 16 
4 7 9 13 17 
4 7 9 13 18 
4 7 9 13 19 
4 7 9 13 20 
4 7 9 14 15 
4 7 9 14 16 
4 7 9 14 17 
4 7 9 14 18 
4 7 9 14 19 
4 7 9 14 20 
4 7 9 15 16 
4 7 9 15 17 
4 7 9 15 18 
4 7 9 15 19 
4 7 9 15 20 
4 7 9 16 17 
4 7 9 16 18 
4 7 9 16 19 
4 7 9 16 20 
4 7 9 17 18 
4 7 9 17 19 
4 7 9 17 20 
4 7 9 18 19 
4 7 9 18 20 
4 7 9 19 20 
4 7 10 11 12 
4 7 10 11 13 
4 7 10 11 14 
4 7 10 11 15 
4 7 10 11 16 
4 7 10 11 17 
4 7 10 11 18 
4 7 10 11 19 
4 7 10 11 20 
4 7 10 12 13 
4 7 10 12 14 
4 7 10 12 15 
4 7 10 12 16 
4 7 10 12 17 
4 7 10 12 18 
4 7 10 12 19 
4 7 10 12 20 
4 7 10 13 14 
4 7 10 13 15 
4 7 10 13 16 
4 7 10 13 17 
4 7 10 13 18 
4 7 10 13 19 
4 7 10 13 20 
4 7 10 14 15 
4 7 10 14 16 
4 7 10 14 17 
4 7 10 14 18 
4 7 10 14 19 
4 7 10 14 20 
4 7 10 15 16 
4 7 10 15 17 
4 7 10 15 18 
4 7 10 15 19 
4 7 10 15 20 
4 7 10 16 17 
4 7 10 16 18 
4 7 10 16 19 
4 7 10 16 20 
4 7 10 17 18 
4 7 10 17 19 
4 7 10 17 20 
4 7 10 18 19 
4 7 10 18 20 
4 7 10 19 20 
4 7 11 12 13 
4 7 11 12 14 
4 7 11 12 15 
4 7 11 12 16 
4 7 11 12 17 
4 7 11 12 18 
4 7 11 12 19 
4 7 11 12 20 
4 7 11 13 14 
4 7 11 13 15 
4 7 11 13 16 
4 7 11 13 17 
4 7 11 13 18 
4 7 11 13 19 
4 7 11 13 20 
4 7 11 14 15 
4 7 11 14 16 
4 7 11 14 17 
4 7 11 14 18 
4 7 11 14 19 
4 7 11 14 20 
4 7 11 15 16 
4 7 11 15 17 
4 7 11 15 18 
4 7 11 15 19 
4 7 11 15 20 
4 7 11 16 17 
4 7 11 16 18 
4 7 11 16 19 
4 7 11 16 20 
4 7 11 17 18 
4 7 11 17 19 
4 7 11 17 20 
4 7 11 18 19 
4 7 11 18 20 
4 7 11 19 20 
4 7 12 13 14 
4 7 12 13 15 
4 7 12 13 16 
4 7 12 13 17 
4 7 12 13 18 
4 7 12 13 19 
4 7 12 13 20 
4 7 12 14 15 
4 7 12 14 16 
4 7 12 14 17 
4 7 12 14 18 
4 7 12 14 19 
4 7 12 14 20 
4 7 12 15 16 
4 7 12 15 17 
4 7 12 15 18 
4 7 12 15 19 
4 7 12 15 20 
4 7 12 16 17 
4 7 12 16 18 
4 7 12 16 19 
4 7 12 16 20 
4 7 12 17 18 
4 7 12 17 19 
4 7 12 17 20 
4 7 12 18 19 
4 7 12 18 20 
4 7 12 19 20 
4 7 13 14 15 
4 7 13 14 16 
4 7 13 14 17 
4 7 13 14 18 
4 7 13 14 19 
4 7 13 14 20 
4 7 13 15 16 
4 7 13 15 17 
4 7 13 15 18 
4 7 13 15 19 
4 7 13 15 20 
4 7 13 16 17 
4 7 13 16 18 
4 7 13 16 19 
4 7 13 16 20 
4 7 13 17 18 
4 7 13 17 19 
4 7 13 17 20 
4 7 13 18 19 
4 7 13 18 20 
4 7 13 19 20 
4 7 14 15 16 
4 7 14 15 17 
4 7 14 15 18 
4 7 14 15 19 
4 7 14 15 20 
4 7 14 16 17 
4 7 14 16 18 
4 7 14 16 19 
4 7 14 16 20 
4 7 14 17 18 
4 7 14 17 19 
4 7 14 17 20 
4 7 14 18 19 
4 7 14 18 20 
4 7 14 19 20 
4 7 15 16 17 
4 7 15 16 18 
4 7 15 16 19 
4 7 15 16 20 
4 7 15 17 18 
4 7 15 17 19 
4 7 15 17 20 
4 7 15 18 19 
4 7 15 18 20 
4 7 15 19 20 
4 7 16 17 18 
4 7 16 17 19 
4 7 16 17 20 
4 7 16 18 19 
4 7 16 18 20 
4 7 16 19 20 
4 7 17 18 19 
4 7 17 18 20 
4 7 17 19 20 
4 7 18 19 20 
4 8 9 10 11 
4 8 9 10 12 
4 8 9 10 13 
4 8 9 10 14 
4 8 9 10 15 
4 8 9 10 16 
4 8 9 10 17 
4 8 9 10 18 
4 8 9 10 19 
4 8 9 10 20 
4 8 9 11 12 
4 8 9 11 13 
4 8 9 11 14 
4 8 9 11 15 
4 8 9 11 16 
4 8 9 11 17 
4 8 9 11 18 
4 8 9 11 19 
4 8 9 11 20 
4 8 9 12 13 
4 8 9 12 14 
4 8 9 12 15 
4 8 9 12 16 
4 8 9 12 17 
4 8 9 12 18 
4 8 9 12 19 
4 8 9 12 20 
4 8 9 13 14 
4 8 9 13 15 
4 8 9 13 16 
4 8 9 13 17 
4 8 9 13 18 
4 8 9 13 19 
4 8 9 13 20 
4 8 9 14 15 
4 8 9 14 16 
4 8 9 14 17 
4 8 9 14 18 
4 8 9 14 19 
4 8 9 14 20 
4 8 9 15 16 
4 8 9 15 17 
4 8 9 15 18 
4 8 9 15 19 
4 8 9 15 20 
4 8 9 16 17 
4 8 9 16 18 
4 8 9 16 19 
4 8 9 16 20 
4 8 9 17 18 
4 8 9 17 19 
4 8 9 17 20 
4 8 9 18 19 
4 8 9 18 20 
4 8 9 19 20 
4 8 10 11 12 
4 8 10 11 13 
4 8 10 11 14 
4 8 10 11 15 
4 8 10 11 16 
4 8 10 11 17 
4 8 10 11 18 
4 8 10 11 19 
4 8 10 11 20 
4 8 10 12 13 
4 8 10 12 14 
4 8 10 12 15 
4 8 10 12 16 
4 8 10 12 17 
4 8 10 12 18 
4 8 10 12 19 
4 8 10 12 20 
4 8 10 13 14 
4 8 10 13 15 
4 8 10 13 16 
4 8 10 13 17 
4 8 10 13 18 
4 8 10 13 19 
4 8 10 13 20 
4 8 10 14 15 
4 8 10 14 16 
4 8 10 14 17 
4 8 10 14 18 
4 8 10 14 19 
4 8 10 14 20 
4 8 10 15 16 
4 8 10 15 17 
4 8 10 15 18 
4 8 10 15 19 
4 8 10 15 20 
4 8 10 16 17 
4 8 10 16 18 
4 8 10 16 19 
4 8 10 16 20 
4 8 10 17 18 
4 8 10 17 19 
4 8 10 17 20 
4 8 10 18 19 
4 8 10 18 20 
4 8 10 19 20 
4 8 11 12 13 
4 8 11 12 14 
4 8 11 12 15 
4 8 11 12 16 
4 8 11 12 17 
4 8 11 12 18 
4 8 11 12 19 
4 8 11 12 20 
4 8 11 13 14 
4 8 11 13 15 
4 8 11 13 16 
4 8 11 13 17 
4 8 11 13 18 
4 8 11 13 19 
4 8 11 13 20 
4 8 11 14 15 
4 8 11 14 16 
4 8 11 14 17 
4 8 11 14 18 
4 8 11 14 19 
4 8 11 14 20 
4 8 11 15 16 
4 8 11 15 17 
4 8 11 15 18 
4 8 11 15 19 
4 8 11 15 20 
4 8 11 16 17 
4 8 11 16 18 
4 8 11 16 19 
4 8 11 16 20 
4 8 11 17 18 
4 8 11 17 19 
4 8 11 17 20 
4 8 11 18 19 
4 8 11 18 20 
4 8 11 19 20 
4 8 12 13 14 
4 8 12 13 15 
4 8 12 13 16 
4 8 12 13 17 
4 8 12 13 18 
4 8 12 13 19 
4 8 12 13 20 
4 8 12 14 15 
4 8 12 14 16 
4 8 12 14 17 
4 8 12 14 18 
4 8 12 14 19 
4 8 12 14 20 
4 8 12 15 16 
4 8 12 15 17 
4 8 12 15 18 
4 8 12 15 19 
4 8 12 15 20 
4 8 12 16 17 
4 8 12 16 18 
4 8 12 16 19 
4 8 12 16 20 
4 8 12 17 18 
4 8 12 17 19 
4 8 12 17 20 
4 8 12 18 19 
4 8 12 18 20 
4 8 12 19 20 
4 8 13 14 15 
4 8 13 14 16 
4 8 13 14 17 
4 8 13 14 18 
4 8 13 14 19 
4 8 13 14 20 
4 8 13 15 16 
4 8 13 15 17 
4 8 13 15 18 
4 8 13 15 19 
4 8 13 15 20 
4 8 13 16 17 
4 8 13 16 18 
4 8 13 16 19 
4 8 13 16 20 
4 8 13 17 18 
4 8 13 17 19 
4 8 13 17 20 
4 8 13 18 19 
4 8 13 18 20 
4 8 13 19 20 
4 8 14 15 16 
4 8 14 15 17 
4 8 14 15 18 
4 8 14 15 19 
4 8 14 15 20 
4 8 14 16 17 
4 8 14 16 18 
4 8 14 16 19 
4 8 14 16 20 
4 8 14 17 18 
4 8 14 17 19 
4 8 14 17 20 
4 8 14 18 19 
4 8 14 18 20 
4 8 14 19 20 
4 8 15 16 17 
4 8 15 16 18 
4 8 15 16 19 
4 8 15 16 20 
4 8 15 17 18 
4 8 15 17 19 
4 8 15 17 20 
4 8 15 18 19 
4 8 15 18 20 
4 8 15 19 20 
4 8 16 17 18 
4 8 16 17 19 
4 8 16 17 20 
4 8 16 18 19 
4 8 16 18 20 
4 8 16 19 20 
4 8 17 18 19 
4 8 17 18 20 
4 8 17 19 20 
4 8 18 19 20 
4 9 10 11 12 
4 9 10 11 13 
4 9 10 11 14 
4 9 10 11 15 
4 9 10 11 16 
4 9 10 11 17 
4 9 10 11 18 
4 9 10 11 19 
4 9 10 11 20 
4 9 10 12 13 
4 9 10 12 14 
4 9 10 12 15 
4 9 10 12 16 
4 9 10 12 17 
4 9 10 12 18 
4 9 10 12 19 
4 9 10 12 20 
4 9 10 13 14 
4 9 10 13 15 
4 9 10 13 16 
4 9 10 13 17 
4 9 10 13 18 
4 9 10 13 19 
4 9 10 13 20 
4 9 10 14 15 
4 9 10 14 16 
4 9 10 14 17 
4 9 10 14 18 
4 9 10 14 19 
4 9 10 14 20 
4 9 10 15 16 
4 9 10 15 17 
4 9 10 15 18 
4 9 10 15 19 
4 9 10 15 20 
4 9 10 16 17 
4 9 10 16 18 
4 9 10 16 19 
4 9 10 16 20 
4 9 10 17 18 
4 9 10 17 19 
4 9 10 17 20 
4 9 10 18 19 
4 9 10 18 20 
4 9 10 19 20 
4 9 11 12 13 
4 9 11 12 14 
4 9 11 12 15 
4 9 11 12 16 
4 9 11 12 17 
4 9 11 12 18 
4 9 11 12 19 
4 9 11 12 20 
4 9 11 13 14 
4 9 11 13 15 
4 9 11 13 16 
4 9 11 13 17 
4 9 11 13 18 
4 9 11 13 19 
4 9 11 13 20 
